"","V1","V2","V3"
"1",0.0667098553500154,0.0659063967896705,0.0756008845078048
"2",0.0889474893365716,0.0878154135516934,0.0871464407044207
"3",0.215977549332846,0.215508658472494,0.20835661750422
"4",0.143570136567276,0.133163383278553,0.130873196189429
"5",0.103731998690066,0.110681537973022,0.105150544040122
"6",0.106598129503754,0.106749314593521,0.109509977261364
"7",0.102659375049747,0.0960776319581867,0.0691959449355288
"8",0.125823819952931,0.129595100790773,0.125863826363526
"9",0.596757802839358,0.497209113761136,0.288576093849728
"10",0.0872687639417236,0.0844479688421701,0.0848544250868756
"11",0.253696673385823,0.235166796500052,0.222305299277706
"12",0.21650802660244,0.221079052618757,0.181201022743865
"13",0.102028551826274,0.107821080000389,0.111483488388135
"14",0.0469691646004847,0.0470158318328178,0.0555889655394224
"15",0.16878540558601,0.178617276917801,0.18881448081887
"16",0.0413591472110663,0.0436577651201026,0.0422666192270638
"17",0.118195585711218,0.118384985897024,0.0968415515698681
