"","V1","V2","V3"
"1",0.0662845199089462,0.0655159798468165,0.0754678111525519
"2",0.0897412783424118,0.0886059754661556,0.0877716466852404
"3",0.216720276906368,0.216268434067326,0.209027633962272
"4",0.142983269794909,0.132650281248197,0.130370243475378
"5",0.103606877882354,0.110531077135379,0.105050915162925
"6",0.106413956277427,0.106552392967075,0.109298054101807
"7",0.103019546990329,0.096501798134767,0.069214152102889
"8",0.125861755591405,0.1295444260932,0.125818699801825
"9",0.594398881539079,0.493957657003306,0.287974105962876
"10",0.087378857436277,0.0844426211075989,0.0847348690406109
"11",0.25351570917042,0.234906137034977,0.222395254570381
"12",0.216853729423333,0.221454258848745,0.181334378301257
"13",0.102207552493642,0.1080380249702,0.111557202133428
"14",0.0470249307907947,0.0471188034231349,0.0557604770986873
"15",0.16925191160607,0.179250212465105,0.189219771052503
"16",0.0418640512726261,0.0441838633163472,0.0426972751601196
"17",0.118364525204833,0.11859753886029,0.0971413106243976
